path	status	bytes	file_kind	category	action	owner	target	role	problem
.pytest_cache/.gitignore	IGNORED	39	regular	TEMP	DELETE_CANDIDATE	machine-local test runtime	quarantine/.pytest_cache/.gitignore	regenerable test/interpreter cache	ignored generated cache; no source value
.pytest_cache/CACHEDIR.TAG	IGNORED	191	regular	TEMP	DELETE_CANDIDATE	machine-local test runtime	quarantine/.pytest_cache/CACHEDIR.TAG	regenerable test/interpreter cache	ignored generated cache; no source value
.pytest_cache/README.md	IGNORED	310	regular	TEMP	DELETE_CANDIDATE	machine-local test runtime	quarantine/.pytest_cache/README.md	regenerable test/interpreter cache	ignored generated cache; no source value
.pytest_cache/v/cache/nodeids	IGNORED	7277	regular	TEMP	DELETE_CANDIDATE	machine-local test runtime	quarantine/.pytest_cache/v/cache/nodeids	regenerable test/interpreter cache	ignored generated cache; no source value
.research/PROJECT_BRIEF.json	IGNORED	9235	regular	PROJECT	KEEP	Product workspace project identity	.research/PROJECT_BRIEF.json	canonical approved brief/checkpoint state	identity-bound project state; preserve in workspace
.research/planning-input/SCOPE.md	IGNORED	2616	regular	HISTORY	KEEP	Product workspace project evidence	.research/planning-input/SCOPE.md	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/planning/cb4bec13e2ee5a4245acf9a6/request.json	IGNORED	147	regular	HISTORY	KEEP	Product workspace project evidence	.research/planning/cb4bec13e2ee5a4245acf9a6/request.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/planning/cb4bec13e2ee5a4245acf9a6/revision-2/receipt.json	IGNORED	598	regular	HISTORY	KEEP	Product workspace project evidence	.research/planning/cb4bec13e2ee5a4245acf9a6/revision-2/receipt.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/planning/cb4bec13e2ee5a4245acf9a6/revision-2/request.json	IGNORED	167	regular	HISTORY	KEEP	Product workspace project evidence	.research/planning/cb4bec13e2ee5a4245acf9a6/revision-2/request.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/product-bootstrap/PREFLIGHT_FAILURE.md	IGNORED	1208	regular	HISTORY	KEEP	Product workspace project evidence	.research/product-bootstrap/PREFLIGHT_FAILURE.md	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/product-bootstrap/plan-request-v2.json	IGNORED	4076	regular	HISTORY	KEEP	Product workspace project evidence	.research/product-bootstrap/plan-request-v2.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/product-bootstrap/plan-request.json	IGNORED	4052	regular	HISTORY	KEEP	Product workspace project evidence	.research/product-bootstrap/plan-request.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/product-bootstrap/plan-response-v2.json	IGNORED	4844	regular	HISTORY	KEEP	Product workspace project evidence	.research/product-bootstrap/plan-response-v2.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/product-bootstrap/plan-response.json	IGNORED	375	regular	HISTORY	KEEP	Product workspace project evidence	.research/product-bootstrap/plan-response.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/product-bootstrap/portability-validation.json	IGNORED	3251	regular	HISTORY	KEEP	Product workspace project evidence	.research/product-bootstrap/portability-validation.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/product-bootstrap/start-request.json	IGNORED	370	regular	HISTORY	KEEP	Product workspace project evidence	.research/product-bootstrap/start-request.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/product-bootstrap/start-response.json	IGNORED	12466	regular	HISTORY	KEEP	Product workspace project evidence	.research/product-bootstrap/start-response.json	current task planning/bootstrap evidence	project history is reviewable evidence, not engine source
.research/workflow-state.json	IGNORED	606	regular	PROJECT	KEEP	Product workspace project identity	.research/workflow-state.json	canonical approved brief/checkpoint state	identity-bound project state; preserve in workspace
.workflow-v2/journal.json	IGNORED	18650	regular	PROJECT	KEEP	Product workspace V2 lifecycle	.workflow-v2/journal.json	authoritative V2 journal	workspace identity-bound lifecycle state
.workflow-v2/journal.json.lock	IGNORED	4	regular	TEMP	DELETE_CANDIDATE	Product workspace runtime	quarantine/.workflow-v2/journal.json.lock	V2 runtime lock/derived scratch	safe to consider only after no active writer and journal verification
ARCHITECTURE.md	TRACKED	10639	regular	ENGINE	KEEP	Product engine repository	ARCHITECTURE.md	reusable documentation or repository policy	none identified in bounded inventory
BOOTSTRAP_HANDOFF.md	TRACKED	8879	regular	HISTORY	KEEP	Product engine/project history	BOOTSTRAP_HANDOFF.md	historical architecture or validation record	preserve context and provenance; not runtime configuration
CANDIDATE_BASELINE.md	TRACKED	1306	regular	HISTORY	KEEP	Product engine/project history	CANDIDATE_BASELINE.md	historical architecture or validation record	preserve context and provenance; not runtime configuration
PHASE_0_BASELINE.md	TRACKED	3657	regular	HISTORY	KEEP	Product engine/project history	PHASE_0_BASELINE.md	historical architecture or validation record	preserve context and provenance; not runtime configuration
PRODUCT_RUNNER_BOOTSTRAP_READINESS.md	UNTRACKED	11806	regular	HISTORY	KEEP	Product engine/project history	PRODUCT_RUNNER_BOOTSTRAP_READINESS.md	historical architecture or validation record	preserve context and provenance; not runtime configuration
PRODUCT_RUNNER_CANONICAL_FAILURE.json	UNTRACKED	1080	regular	HISTORY	KEEP	Product engine/project history	PRODUCT_RUNNER_CANONICAL_FAILURE.json	historical architecture or validation record	preserve context and provenance; not runtime configuration
QUICKSTART.md	TRACKED	11306	regular	ENGINE	KEEP	Product engine repository	QUICKSTART.md	reusable documentation or repository policy	none identified in bounded inventory
README.md	TRACKED	18569	regular	ENGINE	KEEP	Product engine repository	README.md	reusable documentation or repository policy	none identified in bounded inventory
REAL_SELF_HOST_VALIDATION_REPORT.md	TRACKED	7409	regular	HISTORY	KEEP	Product engine/project history	REAL_SELF_HOST_VALIDATION_REPORT.md	historical architecture or validation record	preserve context and provenance; not runtime configuration
V2_LIFECYCLE_IMPLEMENTATION_CLOSEOUT.md	TRACKED	3313	regular	HISTORY	KEEP	Product engine/project history	V2_LIFECYCLE_IMPLEMENTATION_CLOSEOUT.md	historical architecture or validation record	preserve context and provenance; not runtime configuration
V2_SPEC_KIT_ADOPTION_DECISION.md	UNTRACKED	9753	regular	ENGINE	KEEP	Product engine repository	V2_SPEC_KIT_ADOPTION_DECISION.md	reusable documentation or repository policy	none identified in bounded inventory
WORKFLOW_DEMO.md	TRACKED	6478	regular	ENGINE	KEEP	Product engine repository	WORKFLOW_DEMO.md	reusable documentation or repository policy	none identified in bounded inventory
examples/runtime-composition.json	TRACKED	526	regular	ENGINE	KEEP	Product engine repository	examples/runtime-composition.json	reusable example or deterministic fixture	none identified in bounded inventory
fixtures/baseline.json	TRACKED	199	regular	ENGINE	KEEP	Product engine repository	fixtures/baseline.json	reusable example or deterministic fixture	none identified in bounded inventory
fixtures/fake_codex_task.json	TRACKED	919	regular	ENGINE	KEEP	Product engine repository	fixtures/fake_codex_task.json	reusable example or deterministic fixture	none identified in bounded inventory
fixtures/fake_planner_decisions.json	TRACKED	788	regular	ENGINE	KEEP	Product engine repository	fixtures/fake_planner_decisions.json	reusable example or deterministic fixture	none identified in bounded inventory
fixtures/fake_result_reports.json	TRACKED	2306	regular	ENGINE	KEEP	Product engine repository	fixtures/fake_result_reports.json	reusable example or deterministic fixture	none identified in bounded inventory
fixtures/stage_contract.json	TRACKED	1167	regular	ENGINE	KEEP	Product engine repository	fixtures/stage_contract.json	reusable example or deterministic fixture	none identified in bounded inventory
implementation_evidence/phase-0/authority-writer-inventory.json	TRACKED	1031	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/authority-writer-inventory.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/baseline-pytest.stdout.txt	TRACKED	5020	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/baseline-pytest.stdout.txt	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/before-after-inventory.json	TRACKED	4637	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/before-after-inventory.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/candidate-baseline-manifest.json	TRACKED	30684	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/candidate-baseline-manifest.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/candidate-post-baseline-delta.json	TRACKED	1385	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/candidate-post-baseline-delta.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/current-lifecycle-command-inventory.json	TRACKED	2870	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/current-lifecycle-command-inventory.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/frozen-v2-preservation-before.json	TRACKED	1540	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/frozen-v2-preservation-before.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/frozen-v2-preservation.json	TRACKED	1540	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/frozen-v2-preservation.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/guard-inventory.json	TRACKED	688	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/guard-inventory.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/host-preservation-before.json	TRACKED	36346	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/host-preservation-before.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/host-preservation-manifest.json	TRACKED	36346	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/host-preservation-manifest.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/host-source-manifest.json	TRACKED	30292	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/host-source-manifest.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/human-architecture-acceptance.json	TRACKED	1761	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/human-architecture-acceptance.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/known-v2-safety-behavior-inventory.json	TRACKED	3385	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/known-v2-safety-behavior-inventory.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/schema-root-inventory.json	TRACKED	691	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/schema-root-inventory.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/transition-test-traceability.json	TRACKED	8181	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/transition-test-traceability.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-0/v2-source-manifest.json	TRACKED	42971	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-0/v2-source-manifest.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-1/CONTRACT_MATRIX.md	TRACKED	3080	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-1/CONTRACT_MATRIX.md	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-2/TRANSITION_EVIDENCE.md	TRACKED	4642	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-2/TRANSITION_EVIDENCE.md	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-3/PROJECTION_EVIDENCE.md	TRACKED	1363	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-3/PROJECTION_EVIDENCE.md	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-4/MIGRATION_EVIDENCE.md	TRACKED	2156	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-4/MIGRATION_EVIDENCE.md	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-5/ARCHITECTURE_GATE.md	TRACKED	1756	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-5/ARCHITECTURE_GATE.md	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-5/full-isolated-pytest-final.stdout.txt	TRACKED	4695	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-5/full-isolated-pytest-final.stdout.txt	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-5/preservation-after.json	TRACKED	876	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-5/preservation-after.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-6/FRESH_RUNTIME_EVIDENCE.md	TRACKED	795	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-6/FRESH_RUNTIME_EVIDENCE.md	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-6/fresh_v2_runtime/journal.json	TRACKED	93691	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-6/fresh_v2_runtime/journal.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-6/fresh_v2_runtime/runtime-manifest.json	TRACKED	788	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-6/fresh_v2_runtime/runtime-manifest.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/REAL_PHASE7_BASELINE.json	TRACKED	40296	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/REAL_PHASE7_BASELINE.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/REAL_SELF_HOST_VALIDATION.json	TRACKED	5834	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/REAL_SELF_HOST_VALIDATION.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/SCENARIOS_A_E.json	TRACKED	5456	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/SCENARIOS_A_E.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/SELF_HOST_VALIDATION.md	TRACKED	1122	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/SELF_HOST_VALIDATION.md	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/final-full-pytest.stdout.txt	TRACKED	4693	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/final-full-pytest.stdout.txt	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/final-v2-focused-pytest.stdout.txt	TRACKED	101	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/final-v2-focused-pytest.stdout.txt	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/preservation-final.json	TRACKED	3287	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/preservation-final.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/real-provider-artifacts-v2_real_selfhost_validation-20260912-191659/events.jsonl	TRACKED	2726	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/real-provider-artifacts-v2_real_selfhost_validation-20260912-191659/events.jsonl	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/real-provider-artifacts-v2_real_selfhost_validation-20260912-191659/request.json	TRACKED	2308	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/real-provider-artifacts-v2_real_selfhost_validation-20260912-191659/request.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/real-provider-artifacts-v2_real_selfhost_validation-20260912-191659/run.json	TRACKED	5757	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/real-provider-artifacts-v2_real_selfhost_validation-20260912-191659/run.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/real-provider-artifacts-v2_real_selfhost_validation-20260912-191659/workspace.diff	TRACKED	177	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/real-provider-artifacts-v2_real_selfhost_validation-20260912-191659/workspace.diff	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/scenarios/run-20260912-203100/A/.workflow-v2/journal.json	TRACKED	105163	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/scenarios/run-20260912-203100/A/.workflow-v2/journal.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/scenarios/run-20260912-203100/B/controller/.workflow-v2/journal.json	TRACKED	78129	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/scenarios/run-20260912-203100/B/controller/.workflow-v2/journal.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/scenarios/run-20260912-203100/B/gpt-review/evidence/scenario-b-review.json	TRACKED	298	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/scenarios/run-20260912-203100/B/gpt-review/evidence/scenario-b-review.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/scenarios/run-20260912-203100/C/controller/.workflow-v2/journal.json	TRACKED	102285	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/scenarios/run-20260912-203100/C/controller/.workflow-v2/journal.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/scenarios/run-20260912-203100/C/gpt-review/evidence/scenario-c-review.json	TRACKED	486	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/scenarios/run-20260912-203100/C/gpt-review/evidence/scenario-c-review.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/scenarios/run-20260912-203100/D/.workflow-v2/journal.json	TRACKED	123925	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/scenarios/run-20260912-203100/D/.workflow-v2/journal.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/scenarios/run-20260912-203100/E/.workflow-v2/journal.json	TRACKED	42717	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/scenarios/run-20260912-203100/E/.workflow-v2/journal.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
implementation_evidence/phase-7/self-host-validation.json	TRACKED	3888	regular	HISTORY	MOVE	owning engine self-host validation project	<owning-engine-development-project>/implementation_evidence/phase-7/self-host-validation.json	long-term validation and provenance evidence	large historical evidence is mixed into the engine checkout
schemas/artifact_manifest.schema.json	TRACKED	1661	regular	ENGINE	KEEP	Product engine repository	schemas/artifact_manifest.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/artifact_retention.schema.json	TRACKED	1105	regular	ENGINE	KEEP	Product engine repository	schemas/artifact_retention.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/available_assets.schema.json	TRACKED	4679	regular	ENGINE	KEEP	Product engine repository	schemas/available_assets.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/available_assets.v1.schema.json	TRACKED	3993	regular	ENGINE	KEEP	Product engine repository	schemas/available_assets.v1.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/blueprint_manifest.schema.json	TRACKED	5257	regular	ENGINE	KEEP	Product engine repository	schemas/blueprint_manifest.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/bootstrap_state.schema.json	TRACKED	2904	regular	ENGINE	KEEP	Product engine repository	schemas/bootstrap_state.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/bootstrap_state.v1.schema.json	TRACKED	3034	regular	ENGINE	KEEP	Product engine repository	schemas/bootstrap_state.v1.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/codex_feasibility.schema.json	TRACKED	2747	regular	ENGINE	KEEP	Product engine repository	schemas/codex_feasibility.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/codex_result.schema.json	TRACKED	2793	regular	ENGINE	KEEP	Product engine repository	schemas/codex_result.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/codex_task.schema.json	TRACKED	2454	regular	ENGINE	KEEP	Product engine repository	schemas/codex_task.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/discovery_report.schema.json	TRACKED	5066	regular	ENGINE	KEEP	Product engine repository	schemas/discovery_report.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/execution_handoff.v1.schema.json	TRACKED	3161	regular	ENGINE	KEEP	Product engine repository	schemas/execution_handoff.v1.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/execution_integration_stage_planning.v1.schema.json	TRACKED	3059	regular	ENGINE	KEEP	Product engine repository	schemas/execution_integration_stage_planning.v1.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/git_baseline.schema.json	TRACKED	1743	regular	ENGINE	KEEP	Product engine repository	schemas/git_baseline.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/planner_decision.schema.json	TRACKED	2058	regular	ENGINE	KEEP	Product engine repository	schemas/planner_decision.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/project_blueprint.schema.json	TRACKED	5263	regular	ENGINE	KEEP	Product engine repository	schemas/project_blueprint.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/project_brief.schema.json	TRACKED	5882	regular	ENGINE	KEEP	Product engine repository	schemas/project_brief.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/project_brief.v1.schema.json	TRACKED	1359	regular	ENGINE	KEEP	Product engine repository	schemas/project_brief.v1.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/project_context.schema.json	TRACKED	3056	regular	ENGINE	KEEP	Product engine repository	schemas/project_context.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/requirements_intake.schema.json	TRACKED	1077	regular	ENGINE	KEEP	Product engine repository	schemas/requirements_intake.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/research_routing_contract.v1.schema.json	TRACKED	745	regular	ENGINE	KEEP	Product engine repository	schemas/research_routing_contract.v1.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/runtime_composition.v1.schema.json	TRACKED	2167	regular	ENGINE	KEEP	Product engine repository	schemas/runtime_composition.v1.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/stage_context.schema.json	TRACKED	3702	regular	ENGINE	KEEP	Product engine repository	schemas/stage_context.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/stage_context_pack.schema.json	TRACKED	1898	regular	ENGINE	KEEP	Product engine repository	schemas/stage_context_pack.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
schemas/stage_contract.schema.json	TRACKED	3224	regular	ENGINE	KEEP	Product engine repository	schemas/stage_contract.schema.json	reusable implementation, contract, or skill asset	none identified in bounded inventory
